month_dt,region_desc,obj_cnt,total_area,living_area,elem_1k_cnt,elem_2k_cnt,elem_3k_cnt,elem_4k_cnt,elem_parking_cnt
2021-05-01,Ростовская область,62,498000,321800,3419,1879,877,24,351
2021-05-01,Алтай Республика,1,2500,1900,32,8,0,0,0
2021-05-01,Волгоградская область,11,78700,51100,629,152,113,0,230
2021-05-01,Хакасия Республика,7,66200,46100,510,286,90,4,0
2021-05-01,Новосибирская область,45,566900,341100,3180,2235,1254,145,817
2021-05-01,Калмыкия Республика,2,10300,9200,80,60,20,0,0
2021-05-01,Рязанская область,8,165900,109900,1094,769,251,0,91
2021-05-01,Московская область,98,1913300,1243400,14805,9319,2421,178,1883
2021-05-01,Тюменская область,24,255500,185900,2230,1329,321,20,125
2021-05-01,Чувашская Республика,22,238000,164700,1414,1238,382,9,30
2021-05-01,Москва город,26,989300,515700,4902,2374,1189,300,3884
2021-05-01,Курганская область,1,5100,4000,9,41,18,1,0
2021-05-01,Кировская область,9,56300,37500,332,323,110,28,33
2021-05-01,Татарстан Республика,33,327600,220800,2144,1532,758,1,490
2021-05-01,Архангельская область,16,90000,61700,622,440,152,4,35
2021-05-01,Краснодарский край,74,854900,569900,8966,3417,545,39,683
2021-05-01,Астраханская область,2,38700,25400,151,227,52,0,49
2021-05-01,Крым Республика,11,56800,37400,558,207,31,6,0
2021-05-01,Кабардино-Балкарская Республика,3,6100,5500,60,30,0,0,0
2021-05-01,Коми Республика,4,50300,30800,410,182,115,19,0
2021-05-01,Белгородская область,5,29300,20700,307,67,49,4,0
2021-05-01,Карелия Республика,11,86200,56700,241,498,282,47,34
2021-05-01,Ямало-Ненецкий Автономный округ,9,52300,34500,379,237,107,10,0
2021-06-01,Псковская область,12,105100,72900,815,356,240,12,8
2021-06-01,Бурятия Республика,5,33800,19700,254,140,28,4,0
2021-06-01,Новосибирская область,52,659200,400000,3820,2582,1431,163,1018
2021-06-01,Кировская область,10,59800,40000,385,336,114,28,33
2021-06-01,Пензенская область,11,151200,87300,1037,556,209,6,90
2021-06-01,Москва город,30,1335600,690300,5496,3239,1668,464,4266
2021-06-01,Ленинградская область,27,244900,157800,2244,850,292,37,0
2021-06-01,Кемеровская область - Кузбасс,9,115000,78500,1386,67,48,0,94
2021-06-01,Марий Эл Республика,8,70500,47900,401,302,168,4,0
2021-06-01,Калининградская область,56,488000,315400,3156,2416,633,16,468
2021-06-01,Башкортостан Республика,29,471600,327400,4147,1575,861,58,409
2021-06-01,Тюменская область,27,297500,212500,2282,1595,484,49,125
2021-06-01,Брянская область,12,162100,104000,743,786,210,10,1
2021-06-01,Курганская область,2,6400,4900,10,55,21,1,0
2021-06-01,Пермский край,26,418100,267300,1981,1962,1090,52,274
2021-06-01,Дагестан Республика,1,14600,10700,93,66,3,6,0
2021-06-01,Нижегородская область,18,172900,111300,1095,735,281,78,206
2021-06-01,Саратовская область,17,325800,199900,2376,1384,419,0,0
2021-06-01,Саха (Якутия) Республика ,9,105200,73300,924,441,102,26,157
2021-06-01,Орловская область,3,33700,23400,186,141,99,0,0
2021-06-01,Алтайский край,16,275000,181500,1111,1216,758,144,0
2021-06-01,Томская область,1,9800,7000,53,60,0,15,0
2021-06-01,Тамбовская область,6,3500,1600,48,0,0,0,0
2021-06-01,Кабардино-Балкарская Республика,3,6100,5500,60,30,0,0,0
2021-06-01,Воронежская область,13,237000,170700,1575,972,602,1,0
2021-06-01,Архангельская область,17,92500,63600,634,460,153,4,35
2021-06-01,Тульская область,22,255200,150700,1117,1039,392,2,38
2021-06-01,Костромская область,14,64100,46900,411,355,136,2,0
2021-06-01,Рязанская область,9,192900,127300,1302,904,271,0,91
2021-06-01,Вологодская область,11,65000,50900,439,337,161,5,0
2021-06-01,Приморский край,10,179900,107300,828,499,105,89,397
2021-06-01,Крым Республика,11,56800,37400,558,207,31,6,0
2021-06-01,Владимирская область,19,88900,66300,731,425,159,5,66
2021-06-01,Чеченская Республика,1,10700,8700,60,60,0,0,0
2021-06-01,Калужская область,19,102600,75300,804,590,110,1,55
2021-06-01,Чувашская Республика,25,258500,178900,1648,1324,397,9,30
2021-06-01,Московская область,101,1946000,1265700,15028,9528,2460,184,1883
2021-06-01,Севастополь город,19,149100,102700,1205,710,183,14,0
2021-06-01,Ростовская область,67,543700,349100,3836,2031,916,32,436
2021-06-01,Липецкая область,6,97600,69100,571,482,137,0,150
